feature,popularity,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
popularity,1.0,0.08725003125250973,-0.0008662043550847498,0.09016377158153245,-0.004897830584599805,-0.06490605109003376,-0.032165378080716234,-0.17449346913430602,-0.028956825550581922,0.01130049328590572,0.001879207180790482
danceability,0.08725003125250973,1.0,0.13465420559920976,0.2649341824704914,-0.059292644350551794,0.10829510751814993,-0.1678323739451742,-0.19153190304160345,-0.1327804842631841,0.4921246479633012,-0.015472141232378216
energy,-0.0008662043550847498,0.13465420559920976,1.0,0.7610419152450904,-0.06953135040805408,0.13982322210239895,-0.7311054812840997,-0.18644415791107816,0.1909318229438078,0.25394831578241556,0.2608384505162078
loudness,0.09016377158153245,0.2649341824704914,0.7610419152450904,1.0,-0.03546149703916591,0.05401943814714949,-0.5821304685523537,-0.43439071192585177,0.08027126445246077,0.28994694236840896,0.23403143189276648
mode,-0.004897830584599805,-0.059292644350551794,-0.06953135040805408,-0.03546149703916591,1.0,-0.035563130067773334,0.08412536862156876,-0.05048730982528815,0.018177793444471603,0.024332404941753597,-0.0016118563254946408
speechiness,-0.06490605109003376,0.10829510751814993,0.13982322210239895,0.05401943814714949,-0.035563130067773334,1.0,0.01231288822379989,-0.10699595873411778,0.23162740492122463,0.03507050843027802,-0.003209307312724657
acousticness,-0.032165378080716234,-0.1678323739451742,-0.7311054812840997,-0.5821304685523537,0.08412536862156876,0.01231288822379989,1.0,0.09524965513350832,-0.01636435566181486,-0.10169104067222057,-0.22358892312996445
instrumentalness,-0.17449346913430602,-0.19153190304160345,-0.18644415791107816,-0.43439071192585177,-0.05048730982528815,-0.10699595873411778,0.09524965513350832,1.0,-0.09660818918493497,-0.3323793728954778,-0.05894759158704832
liveness,-0.028956825550581922,-0.1327804842631841,0.1909318229438078,0.08027126445246077,0.018177793444471603,0.23162740492122463,-0.01636435566181486,-0.09660818918493497,1.0,0.014415788932622626,-0.008846272631334865
valence,0.01130049328590572,0.4921246479633012,0.25394831578241556,0.28994694236840896,0.024332404941753597,0.03507050843027802,-0.10169104067222057,-0.3323793728954778,0.014415788932622626,1.0,0.09313741033769285
tempo,0.001879207180790482,-0.015472141232378216,0.2608384505162078,0.23403143189276648,-0.0016118563254946408,-0.003209307312724657,-0.22358892312996445,-0.05894759158704832,-0.008846272631334865,0.09313741033769285,1.0
